,Country,Cases,Population Density,MCV1,MCV2,SHP per 10k
115,Rwanda,229.0,498.65987030000000,99,96.0,8.96
116,Samoa,0.0,69.30388693,31,13.0,18.81
117,San Marino,0.0,563.0833333000000,89,84.0,154.46
118,Sao Tome and Principe,0.0,219.8208333,95,76.0,
119,Saudi Arabia,1164.0,15.67665431,98,97.0,77.74
120,Senegal,12.0,82.34747832,83,63.0,3.78
121,Serbia,5076.0,79.8376858,92,90.0,71.60
122,Seychelles,,210.3521739,96,97.0,54.17
123,Sierra Leone,344.0,105.98717100000000,87,64.0,3.42
124,Singapore,38.0,7952.99859,95,84.0,93.97
125,Slovenia,9.0,102.9922926,93,94.0,116.60
126,Solomon Islands,0.0,23.32468739,93,54.0,19.71
127,South Africa,71.0,47.63011978,70,50.0,60.46
128,Spain,225.0,93.66979208,97,94.0,91.96
129,Sri Lanka,1.0,350.284495,99,99.0,36.75
130,Sudan,4980.0,22.60478633,88,72.0,42.2
131,Suriname,0.0,3.692224359,77,54.0,
132,Sweden,43.0,24.98149812,97,95.0,160.64
133,Switzerland,50.0,215.4651922,95,90.0,223.02
134,Syrian Arab Republic,329.0,92.06710777,63,54.0,38.48
135,Tajikistan,0.0,65.57271417,98,97.0,69.89
136,Thailand,6035.0,135.89720680000000,96,87.0,27.64
137,Timor-Leste,0.0,85.27047747,77,54.0,15.12
138,Togo,38.0,145.0467733,71,,3.58
139,Tonga,0.0,143.3291667,99,99.0,44.83
140,Trinidad and Tobago,0.0,270.92748540000000,90,92.0,51.02
141,Tunisia,13.0,74.44132338,89,92.0,39.59
142,Turkey,716.0,106.96012890000000,96,87.0,44.05
143,Turkmenistan,0.0,12.45059477,99,99.0,70.61
144,Tuvalu,,383.6,88,81.0,77.50
145,Ukraine,53219.0,77.01504660000000,91,90.0,100.38
146,United Arab Emirates,172.0,135.6091101,99,99.0,46.19
147,Uruguay,0.0,19.70802765,97,91.0,97.86
148,Uzbekistan,22.0,74.80586987,96,99.0,149.47
149,Zambia,11.0,23.3414789,94,65.0,9.76
150,Zimbabwe,1.0,37.32459093,88,78.0,12.44
